title,genres,overview
"The Shawshank Redemption","Drama","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"The Godfather","Crime Drama","An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son."
"The Dark Knight","Action Crime Drama","Batman raises the stakes in his war on crime with the help of Lt. Jim Gordon and District Attorney Harvey Dent."
"Pulp Fiction","Crime Drama","The lives of two mob hitmen, a boxer, and others intertwine in a tale of violence and redemption."
"Forrest Gump","Drama Romance","The presidencies of Kennedy and Johnson, the Vietnam War, and more through the eyes of an Alabama man with a low IQ."
"Inception","Action Adventure Sci-Fi","A thief who steals corporate secrets through dream-sharing is given a chance to have his criminal history erased."
"Fight Club","Drama","An insomniac office worker and a soap maker form an underground fight club that evolves into much more."
"The Matrix","Action Sci-Fi","A computer hacker learns about the true nature of his reality and his role in the war against its controllers."
"The Lord of the Rings: The Return of the King","Adventure Fantasy","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam."
"Interstellar","Adventure Drama Sci-Fi","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"Gladiator","Action Adventure Drama","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family."
"The Lion King","Animation Adventure Drama","Lion prince Simba flees his kingdom after the murder of his father, but returns as an adult to reclaim it."
"Titanic","Drama Romance","A young aristocrat falls in love with a kind but poor artist aboard the ill-fated R.M.S. Titanic."
"The Silence of the Lambs","Crime Drama Thriller","A young FBI cadet must confide in an incarcerated and manipulative killer to catch another serial killer."
"The Green Mile","Crime Drama Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder."
"The Departed","Crime Drama Thriller","An undercover cop and a mole in the police try to identify each other while infiltrating an Irish gang."
"Whiplash","Drama Music","A promising young drummer enrolls at a cut-throat music conservatory where his dreams are mentored by an abusive instructor."
"The Prestige","Drama Mystery Sci-Fi","Two stage magicians engage in competitive one-upmanship with tragic results."
"The Avengers","Action Adventure Sci-Fi","Earth's mightiest heroes must come together to stop a mischievous demigod."
"Avengers: Endgame","Action Adventure Drama","The Avengers assemble once more in order to reverse Thanos' actions."
"Parasite","Comedy Drama Thriller","Greed and class discrimination threaten a newly formed symbiotic relationship between the wealthy and poor."
"Joker","Crime Drama Thriller","In Gotham City, a mentally troubled comedian embarks on a downward spiral that leads to chaos."
"1917","Drama War","Two British soldiers are given a mission to deliver a message deep in enemy territory."
"Django Unchained","Drama Western","A freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
"Shutter Island","Mystery Thriller","A U.S Marshal investigates a psychiatric facility after a patient goes missing."
"The Social Network","Biography Drama","The story of the founding of Facebook."
"The Imitation Game","Biography Drama Thriller","During WWII, a mathematician tries to crack the Enigma code."
"La La Land","Comedy Drama Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love."
"Mad Max: Fury Road","Action Adventure Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrant."
"Black Panther","Action Adventure Sci-Fi","T'Challa returns home as king of Wakanda but finds his sovereignty challenged."
"The Wolf of Wall Street","Biography Crime Drama","Based on the true story of Jordan Belfort."
"Inglourious Basterds","Adventure Drama War","A plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers."
"The Revenant","Action Adventure Drama","A frontiersman fights for survival after being mauled by a bear."
"The Big Short","Biography Comedy Drama","The financial crisis of 2007–2008 is predicted by a few people."
"Her","Drama Romance Sci-Fi","A lonely man develops a relationship with an AI operating system."
"Ex Machina","Drama Sci-Fi Thriller","A young programmer is selected to test a female AI."
"Get Out","Horror Mystery Thriller","A young African-American visits his white girlfriend's family."
"Us","Horror Thriller","A family is confronted by their doppelgängers."
"No Country for Old Men","Crime Drama Thriller","Violence and mayhem ensue after a hunter finds money."
"A Beautiful Mind","Biography Drama","A brilliant mathematician struggles with schizophrenia."
"The Theory of Everything","Biography Drama Romance","The life of Stephen Hawking."
"Bohemian Rhapsody","Biography Drama Music","The story of Freddie Mercury and Queen."
"Soul","Animation Adventure Comedy","A musician has a near-death experience and explores the afterlife."
"Coco","Animation Adventure Family","A boy is transported to the Land of the Dead."
"Inside Out","Animation Adventure Comedy","A young girl's emotions try to guide her through life."
"Up","Animation Adventure Comedy","An old man ties thousands of balloons to his house."
"Finding Nemo","Animation Adventure Comedy","After his son is captured, a clownfish sets out to find him."
"WALL·E","Animation Adventure Family","A robot is left to clean a waste-covered Earth."
"Ratatouille","Animation Comedy Family","A rat with culinary dreams teams up with a chef."
